epoch,accuracy,loss,val_accuracy,val_loss
0,0.9316666722297668,0.22161448001861572,0.9767628312110901,0.07812526822090149
1,0.9797166585922241,0.06678277254104614,0.9711538553237915,0.09250203520059586
2,0.98458331823349,0.04862641543149948,0.9850761294364929,0.04653381556272507
3,0.9881500005722046,0.03863948956131935,0.9887820482254028,0.034136950969696045
4,0.9900500178337097,0.03143724426627159,0.9898838400840759,0.03187667205929756
5,0.9911166429519653,0.027761874720454216,0.9868789911270142,0.04066158086061478
6,0.9917666912078857,0.02431122399866581,0.9902844429016113,0.033968523144721985
7,0.9930833578109741,0.02138392999768257,0.9879807829856873,0.034882865846157074
8,0.9939166903495789,0.018984122201800346,0.9867788553237915,0.04689133167266846
9,0.9943833351135254,0.016861533746123314,0.9902844429016113,0.03440191596746445
10,0.9945999979972839,0.016367778182029724,0.9905849099159241,0.038558024913072586
11,0.9954333305358887,0.01330508291721344,0.9885817170143127,0.05277985334396362
12,0.9953833222389221,0.01350775919854641,0.9889823794364929,0.0414307564496994
13,0.9963666796684265,0.011906007304787636,0.9885817170143127,0.042658936232328415
14,0.9962000250816345,0.01147641520947218,0.9890825152397156,0.042574141174554825
15,0.9964666962623596,0.010675586760044098,0.985276460647583,0.06509900093078613
16,0.996916651725769,0.010440620593726635,0.9809695482254028,0.07792524248361588
17,0.9965999722480774,0.010511759668588638,0.9886819124221802,0.055984556674957275
18,0.996916651725769,0.008748331107199192,0.989182710647583,0.055941641330718994
19,0.9971833229064941,0.009079169481992722,0.9897836446762085,0.05588714778423309
20,0.9975166916847229,0.007841300219297409,0.9875801205635071,0.06943175941705704
21,0.9967666864395142,0.009949549101293087,0.9892828464508057,0.05472685024142265
22,0.9973166584968567,0.00826843548566103,0.9896835088729858,0.05439038202166557
23,0.9971833229064941,0.009402298368513584,0.9875801205635071,0.06095493584871292
24,0.9973499774932861,0.00818605162203312,0.9905849099159241,0.05412255972623825
25,0.9974666833877563,0.007583610247820616,0.9902844429016113,0.0591459758579731
26,0.9973499774932861,0.008376850746572018,0.9847756624221802,0.08759204298257828
27,0.9975500106811523,0.007107695564627647,0.989182710647583,0.05833123251795769
28,0.9975666403770447,0.007442158181220293,0.9884815812110901,0.07537136971950531
29,0.9977333545684814,0.007608058862388134,0.98828125,0.08375231176614761
30,0.9976166486740112,0.008010202087461948,0.9892828464508057,0.07665301859378815
31,0.9979833364486694,0.0071367789059877396,0.9886819124221802,0.06840303540229797
32,0.9984666705131531,0.005239497404545546,0.9880809187889099,0.082412488758564
33,0.9975833296775818,0.008867819793522358,0.9894831776618958,0.06531421095132828
34,0.9980166554450989,0.006806913763284683,0.9866786599159241,0.08336985111236572
35,0.9977333545684814,0.008940234780311584,0.9894831776618958,0.0702361911535263
36,0.9979000091552734,0.007594809401780367,0.9876803159713745,0.09748627245426178
37,0.9979666471481323,0.007601461838930845,0.9881811141967773,0.08411293476819992
38,0.9980833530426025,0.006769481115043163,0.9890825152397156,0.08517053723335266
39,0.998283326625824,0.005838693119585514,0.9892828464508057,0.08001528680324554
