epoch,accuracy,loss,val_accuracy,val_loss
0,0.10523367673158646,48773413732352.0,0.10877403616905212,242548111048704.0
1,0.10539372265338898,1512241207705600.0,0.10877403616905212,3885045148286976.0
2,0.10543373972177505,1.0312756569833472e+16,0.10877403616905212,1.9675069089316864e+16
3,0.10537371784448624,3.817335579423539e+16,0.10877403616905212,6.219345431835443e+16
4,0.10551376640796661,1.026849456961618e+17,0.10877403616905212,1.518551142802391e+17
5,0.10547374933958054,2.2765865853465395e+17,0.10877403616905212,3.149120186645217e+17
6,0.10549376159906387,4.414654290644173e+17,0.10877403616905212,5.834495230874747e+17
7,0.1054537445306778,7.801486486032876e+17,0.10877403616905212,9.953814169947996e+17
8,0.10553377121686935,1.28434722898654e+18,0.10877403616905212,1.59446365896704e+18
9,0.10541373491287231,2.0005006587209974e+18,0.10877403616905212,2.4302656691581747e+18
10,0.1054537445306778,2.983732059912012e+18,0.10877403616905212,3.558216989820322e+18
11,0.10547374933958054,4.291393883209728e+18,0.10877403616905212,5.039548323992699e+18
12,0.1054537445306778,5.987067862391456e+18,0.10877403616905212,6.941349947056849e+18
13,0.10549376159906387,8.143303622948553e+18,0.10877403616905212,9.336537072120365e+18
14,0.10553377121686935,1.0826416009687073e+19,0.10877403616905212,1.230389135658084e+19
15,0.10553377121686935,1.4138065867711185e+19,0.10877403616905212,1.5927957548032852e+19
16,0.10551376640796661,1.8151654944023773e+19,0.10877403616905212,2.0299168278837723e+19
17,0.10549376159906387,2.296182700052054e+19,0.10877403616905212,2.5513778095425847e+19
18,0.10549376159906387,2.867183277611942e+19,0.10877403616905212,3.1674143833761776e+19
19,0.1054537445306778,3.538907256662157e+19,0.10877403616905212,3.8888310103460545e+19
20,0.10547374933958054,4.322135788517694e+19,0.10877403616905212,4.7270093950183014e+19
21,0.10547374933958054,5.229254871665449e+19,0.10877403616905212,5.693897490447309e+19
22,0.10547374933958054,6.269647958239189e+19,0.10877403616905212,6.802065793171115e+19
23,0.10549376159906387,7.462473378645934e+19,0.10877403616905212,8.064650388509085e+19
24,0.10553377121686935,8.812649908103702e+19,0.10877403616905212,9.495414083408416e+19
25,0.10551376640796661,1.0347628833520851e+20,0.10877403616905212,1.1108518147830212e+20
26,0.10549376159906387,1.2066430270134708e+20,0.10877403616905212,1.2918825340154098e+20
27,0.10553377121686935,1.3991297777979831e+20,0.10877403616905212,1.494193904979217e+20
28,0.10551376640796661,1.613744771837534e+20,0.10877403616905212,1.7193724789728582e+20
29,0.10549376159906387,1.85230079594307e+20,0.10877403616905212,1.969078430593345e+20
30,0.10551376640796661,2.1167231389552922e+20,0.10877403616905212,2.2450430068693087e+20
31,0.10547374933958054,2.4086323930526122e+20,0.10877403616905212,2.5490409075289096e+20
32,0.10543373972177505,2.7284968622275323e+20,0.10877403616905212,2.8829244138407644e+20
33,0.1054537445306778,3.0805940865167524e+20,0.10877403616905212,3.2485924263665074e+20
34,0.1054537445306778,3.4648056705081934e+20,0.10877403616905212,3.648002603569161e+20
35,0.10547374933958054,3.8843177350163595e+20,0.10877403616905212,4.083157288064301e+20
